Date, Open, High, Low, Close, Volume,Company
7/4/2017,300,300,300,300,800,KUKZ
7/3/2017,319,319,319,319,100,KUKZ
6/30/2017,310,310,310,310,18000,KUKZ
6/27/2017,319,319,319,319,100,KUKZ
6/23/2017,319,319,319,319,100,KUKZ
6/12/2017,294,294,294,294,200,KUKZ
6/8/2017,293,293,293,293,500,KUKZ
5/31/2017,325,325,325,325,13000,KUKZ
5/30/2017,319,320,319,319,900,KUKZ
5/25/2017,319,319,319,319,100,KUKZ
5/24/2017,315,315,315,315,700,KUKZ
5/12/2017,316,324,315,316,1200,KUKZ
5/5/2017,315,315,315,315,1100,KUKZ
5/2/2017,290,290,290,290,1700,KUKZ
4/28/2017,284,284,284,284,500,KUKZ
4/25/2017,309,310,280,309,11600,KUKZ
4/20/2017,310,310,310,310,100,KUKZ
4/19/2017,311,311,311,311,3000,KUKZ
4/12/2017,315,315,315,315,100,KUKZ
4/5/2017,308,308,308,308,800,KUKZ
4/4/2017,308,308,308,308,200,KUKZ
3/31/2017,280,280,280,280,200,KUKZ
3/27/2017,300,300,300,300,100,KUKZ
3/23/2017,300,300,300,300,300,KUKZ
3/20/2017,277,277,277,277,200,KUKZ
3/15/2017,299,300,297,299,10700,KUKZ
3/13/2017,298,298,298,298,300,KUKZ
3/9/2017,271,273,271,271,10000,KUKZ
3/7/2017,273,273,273,273,200,KUKZ
3/1/2017,297,297,297,297,400,KUKZ
2/27/2017,272,272,272,272,300,KUKZ
2/24/2017,297,297,297,297,19900,KUKZ
2/21/2017,270,270,270,270,100,KUKZ
2/10/2017,266,266,266,266,200,KUKZ
2/7/2017,280,280,280,280,300,KUKZ
2/6/2017,285,285,285,285,10200,KUKZ
2/3/2017,281,281,281,281,400,KUKZ
2/1/2017,280,280,280,280,100,KUKZ
1/31/2017,286,286,286,286,200,KUKZ
1/27/2017,307,309,307,307,37500,KUKZ
1/10/2017,281,281,281,281,300,KUKZ
1/9/2017,308,308,308,308,600,KUKZ
